,상호,주소,가격,셀프,상표,구
119,현대오일뱅크㈜직영 장삼주유소,서울 성북구 한천로 612 (장위동),1835.0,Y,현대오일뱅크,성북구
120,현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),1835.0,Y,현대오일뱅크,성북구
121,SK에너지(주) 드림랜드주유소,서울 성북구 월계로 128 (장위동),1837.0,N,SK에너지,성북구
122,중앙에너비스 종암지점,서울 성북구 종암로 58,1837.0,Y,SK에너지,성북구
123,장위주유소,서울 성북구 화랑로 110 (하월곡동),1837.0,Y,S-OIL,성북구
124,신동방주유소,서울 성북구 월계로 84 (장위동),1837.0,Y,S-OIL,성북구
125,현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로 218 (정릉동),1837.0,Y,현대오일뱅크,성북구
126,지에스칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),1839.0,Y,GS칼텍스,성북구
127,(주)신용 구도일주유소화랑로,서울 성북구 화랑로 174,1863.0,Y,S-OIL,성북구
128,동일주유소,서울특별시 성북구  보문로 85 (보문동5가),1865.0,Y,S-OIL,성북구
129,현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96 (정릉동),1867.0,N,현대오일뱅크,성북구
130,우리주유소,서울 성북구 화랑로 292,1867.0,Y,SK에너지,성북구
131,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,1868.0,N,GS칼텍스,성북구
132,㈜명연에너지 효성주유소,서울 성북구 화랑로 27,1875.0,N,GS칼텍스,성북구
133,재정제2주유소 길음지점,서울 성북구 삼양로 78 (길음동),1879.0,N,현대오일뱅크,성북구
134,지에스칼텍스㈜ 세창주유소,서울 성북구 동소문로 323,1896.0,Y,GS칼텍스,성북구
135,신방주유소,서울 성북구 안암로 111 (안암동5가),1899.0,N,S-OIL,성북구
136,삼선주유소,서울 성북구 창경궁로 324,1947.0,Y,S-OIL,성북구
137,위례드림주유소,서울시 송파구  위례중앙로 10,1857.0,Y,S-OIL,송파구
138,지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,1860.0,Y,GS칼텍스,송파구
139,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),1860.0,Y,현대오일뱅크,송파구
140,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),1871.0,Y,SK에너지,송파구
