,광역시도,시도,20-39세여자,20-39세합계,65세 이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역,ID
82,경상남도,의창구,33514.0,72756.0,24846.0,128719.0,123716.0,252435.0,2.697738066489576,False,창원 의창
83,경상남도,진주시,42443.0,89705.0,49318.0,171855.0,174884.0,346739.0,1.721197128837341,False,진주
84,경상남도,진해구,24315.0,52170.0,21567.0,95701.0,91612.0,187313.0,2.254833773821116,False,창원 진해
85,경상남도,창녕군,5291.0,12172.0,17149.0,31735.0,32247.0,63982.0,0.6170622193713919,True,창녕
86,경상남도,창원시,137145.0,296291.0,117208.0,540073.0,523834.0,1063907.0,2.340198621254522,False,창원
87,경상남도,통영시,15478.0,33197.0,20895.0,69769.0,68391.0,138160.0,1.4815027518545107,False,통영
88,경상남도,하동군,3779.0,8574.0,14514.0,24463.0,25159.0,49622.0,0.5207385972164806,True,하동
89,경상남도,함안군,6747.0,14482.0,13964.0,34819.0,34118.0,68937.0,0.966342022343168,True,함안
90,경상남도,함양군,3022.0,6520.0,12274.0,19244.0,20997.0,40241.0,0.4924230079843572,True,함양
91,경상남도,합천군,3180.0,7178.0,16972.0,22825.0,25201.0,48026.0,0.3747348574122083,True,합천
92,경상북도,경산시,33298.0,71899.0,36375.0,130060.0,127977.0,258037.0,1.8308178694158077,False,경산
93,경상북도,경주시,26564.0,58774.0,48789.0,129944.0,129508.0,259452.0,1.088933981020312,False,경주
94,경상북도,고령군,2789.0,6241.0,8889.0,17485.0,16772.0,34257.0,0.6275171560355496,True,고령
95,경상북도,구미시,63332.0,134262.0,31554.0,214600.0,205291.0,419891.0,4.014197882994232,False,구미
96,경상북도,군위군,1566.0,3578.0,8670.0,12156.0,12015.0,24171.0,0.3612456747404844,True,군위
97,경상북도,김천시,15254.0,33261.0,28488.0,71201.0,71055.0,142256.0,1.070907048581859,False,김천
98,경상북도,남구,28472.0,63040.0,31515.0,125811.0,118937.0,244748.0,1.8068856100269712,False,포항 남구
99,경상북도,문경시,6467.0,14007.0,19285.0,36537.0,38165.0,74702.0,0.6706766917293233,True,문경
100,경상북도,봉화군,2271.0,5122.0,10706.0,16667.0,16872.0,33539.0,0.4242480851858771,True,봉화
101,경상북도,북구,31791.0,67836.0,36781.0,135294.0,136733.0,272027.0,1.72866425600174,False,북
102,경상북도,상주시,8158.0,18194.0,27769.0,49824.0,51975.0,101799.0,0.5875616694875581,True,상주
103,경상북도,성주군,3660.0,8345.0,12398.0,23166.0,22039.0,45205.0,0.5904178093240845,True,성주
104,경상북도,안동시,17781.0,37608.0,34672.0,83341.0,85457.0,168798.0,1.0256691278264882,False,안동
105,경상북도,영덕군,2758.0,6114.0,12897.0,18607.0,20445.0,39052.0,0.4276963634953865,True,영덕
106,경상북도,영양군,1192.0,2654.0,5878.0,8724.0,8989.0,17713.0,0.4055801292956788,True,영양
107,경상북도,영주시,9630.0,21466.0,24577.0,54245.0,55002.0,109247.0,0.7836595190625382,True,영주
108,경상북도,영천시,8980.0,20301.0,25063.0,50644.0,49877.0,100521.0,0.7165941826596975,True,영천
109,경상북도,예천군,3494.0,7700.0,15043.0,22663.0,23503.0,46166.0,0.4645349996676194,True,예천
110,경상북도,울릉군,863.0,2115.0,2154.0,5430.0,4571.0,10001.0,0.8012999071494893,True,울릉
111,경상북도,울진군,4498.0,10189.0,12665.0,25847.0,25891.0,51738.0,0.7103039873667588,True,울진
112,경상북도,의성군,3326.0,7716.0,19896.0,26334.0,27680.0,54014.0,0.3343385605146763,True,의성
113,경상북도,청도군,3037.0,6860.0,14274.0,21278.0,22286.0,43564.0,0.425528933725655,True,청도
114,경상북도,청송군,1756.0,4164.0,8600.0,13008.0,13293.0,26301.0,0.4083720930232558,True,청송
115,경상북도,칠곡군,16831.0,36450.0,15479.0,64002.0,59197.0,123199.0,2.1746882873570645,False,칠곡
116,경상북도,포항시,60263.0,130876.0,68296.0,261105.0,255670.0,516775.0,1.764759283120534,False,포항
117,광주광역시,광산구,57338.0,116495.0,32067.0,202480.0,200569.0,403049.0,3.5761374621885427,False,광주 광산
118,광주광역시,남구,28859.0,58607.0,32184.0,106288.0,113441.0,219729.0,1.793375590355456,False,광주 남구
119,광주광역시,동구,12008.0,25478.0,19413.0,47823.0,47968.0,95791.0,1.2371091536599186,False,광주 동구
120,광주광역시,북구,60644.0,126306.0,53694.0,219300.0,221766.0,441066.0,2.258874362126122,False,광주 북구
121,광주광역시,서구,43352.0,87911.0,35214.0,152246.0,157333.0,309579.0,2.4622025330834325,False,광주 서구
122,대구광역시,남구,19722.0,41610.0,29974.0,76147.0,80286.0,156433.0,1.3159404817508509,False,대구 남구
123,대구광역시,달서구,77782.0,164114.0,62977.0,294121.0,297770.0,591891.0,2.4701716499674484,False,대구 달서
124,대구광역시,달성군,29407.0,62844.0,24215.0,111194.0,107074.0,218268.0,2.428825108403882,False,대구 달성
125,대구광역시,동구,44155.0,93937.0,55767.0,174663.0,176689.0,351352.0,1.5835529972923057,False,대구 동구
126,대구광역시,북구,56497.0,118892.0,51156.0,220247.0,220136.0,440383.0,2.2088122605363987,False,대구 북구
127,대구광역시,서구,22923.0,51430.0,33038.0,100760.0,98747.0,199507.0,1.3876747987166294,False,대구 서구
128,대구광역시,수성구,52594.0,108158.0,56431.0,218317.0,228694.0,447011.0,1.8640109159858944,False,대구 수성
129,대구광역시,중구,11124.0,22710.0,15343.0,38720.0,40992.0,79712.0,1.4500423645962328,False,대구 중구
130,대전광역시,대덕구,24229.0,52136.0,22783.0,97879.0,94809.0,192688.0,2.1269367510863364,False,대전 대덕
131,대전광역시,동구,29621.0,63636.0,35763.0,118911.0,116048.0,234959.0,1.6565165114783436,False,대전 동구
